url,headword
http://www.stoa.org/sol-entries/alpha/171,"Ἀγάστονος"
http://www.stoa.org/sol-entries/alpha/172,"Ἀγάστορες"
http://www.stoa.org/sol-entries/alpha/173,"Ἀγαστός"
http://www.stoa.org/sol-entries/alpha/174,"Ἀγάστου"
http://www.stoa.org/sol-entries/alpha/175,"Ἀγαυρίαμα"
http://www.stoa.org/sol-entries/alpha/176,"Ἄγαυρος"
http://www.stoa.org/sol-entries/alpha/177,"Ἄγβαρος"
http://www.stoa.org/sol-entries/alpha/178,"Ἀγαίομαι"
http://www.stoa.org/sol-entries/alpha/179,"Ἀγγαῖος"
http://www.stoa.org/sol-entries/alpha/180,"Ἄγε δῆτα"
http://www.stoa.org/sol-entries/alpha/181,"Ἀγέλαστα"
http://www.stoa.org/sol-entries/alpha/182,"Ἀγέλαος"
http://www.stoa.org/sol-entries/alpha/183,"Ἀγελάρχης"
http://www.stoa.org/sol-entries/alpha/184,"Ἀγελαία σταφυλή"
http://www.stoa.org/sol-entries/alpha/185,"Ἀγελαίη"
http://www.stoa.org/sol-entries/alpha/186,"Ἀγέλαιος"
http://www.stoa.org/sol-entries/alpha/187,"Ἀγελαῖος"
http://www.stoa.org/sol-entries/alpha/188,"Ἀγελαιών"
http://www.stoa.org/sol-entries/alpha/189,"Ἀγελαῖοι ἰχθύες"
http://www.stoa.org/sol-entries/alpha/190,"Ἀγελείη"
http://www.stoa.org/sol-entries/alpha/191,"Ἀγεληδόν"
http://www.stoa.org/sol-entries/alpha/192,"Ἀγελήτης βοῦς"
http://www.stoa.org/sol-entries/alpha/193,"Ἀγέληφιν"
http://www.stoa.org/sol-entries/alpha/194,"Ἀγγελιαφόρος"
http://www.stoa.org/sol-entries/alpha/195,"Ἀγέλιος"
http://www.stoa.org/sol-entries/alpha/196,"Ἄγγελος"
http://www.stoa.org/sol-entries/alpha/197,"Ἀγένεια"
http://www.stoa.org/sol-entries/alpha/198,"Ἀγεννῶς"
http://www.stoa.org/sol-entries/alpha/199,"Ἀγενής"
http://www.stoa.org/sol-entries/alpha/200,"Ἀγέραστος"
